Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
9.273999999999999133e+00,1.000000000000000000e+00,2.704283333333333417e+02,2.100000000000000000e+01,2.463066731999999774e+03,3.410640766666666934e+01,-1.177120366666666627e+02,2.463141532999999981e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.702081249999999955e+02,2.100000000000000000e+01,2.463366657000000032e+03,3.410640683333333101e+01,-1.177120374999999939e+02,2.463440411000000040e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.704031249999999886e+02,2.100000000000000000e+01,2.463366657000000032e+03,3.410640683333333101e+01,-1.177120374999999939e+02,2.463440411000000040e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.697983333333333462e+02,1.900000000000000000e+01,2.463666583000000173e+03,3.410640683333333101e+01,-1.177120374999999939e+02,2.463749353000000156e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.699983333333333348e+02,1.900000000000000000e+01,2.463666583000000173e+03,3.410640683333333101e+01,-1.177120374999999939e+02,2.463749353000000156e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.699883333333333439e+02,1.700000000000000000e+01,2.463966507999999976e+03,3.410640683333333101e+01,-1.177120374999999939e+02,2.464057805999999800e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.701883333333333326e+02,2.100000000000000000e+01,2.463966507999999976e+03,3.410640683333333101e+01,-1.177120374999999939e+02,2.464057805999999800e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.704583333333333144e+02,1.900000000000000000e+01,2.464766751999999997e+03,3.410640649999999852e+01,-1.177120383333333393e+02,2.464856206999999813e+03
9.262000000000000455e+00,1.000000000000000000e+00,2.706583333333333599e+02,8.500000000000000000e+01,2.464766751999999997e+03,3.410640649999999852e+01,-1.177120383333333393e+02,2.464856206999999813e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.696483333333333121e+02,2.100000000000000000e+01,2.465066678000000138e+03,3.410640599999999978e+01,-1.177120388333333381e+02,2.465155197999999928e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.698483333333333576e+02,1.900000000000000000e+01,2.465066678000000138e+03,3.410640599999999978e+01,-1.177120388333333381e+02,2.465155197999999928e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.697383333333333439e+02,1.900000000000000000e+01,2.465366603999999825e+03,3.410640599999999978e+01,-1.177120388333333381e+02,2.465452780999999959e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.699383333333333326e+02,1.900000000000000000e+01,2.465366603999999825e+03,3.410640599999999978e+01,-1.177120388333333381e+02,2.465452780999999959e+03
