Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
1.259399999999999942e+01,1.000000000000000000e+00,8.965833333333334565e+01,9.500000000000000000e+01,2.113016363000000183e+03,3.410641249999999758e+01,-1.177119940000000042e+02,2.113097960999999941e+03
1.289600000000000080e+01,1.000000000000000000e+00,8.985833333333333428e+01,1.000000000000000000e+02,2.113016363000000183e+03,3.410641249999999758e+01,-1.177119940000000042e+02,2.113097960999999941e+03
1.323799999999999955e+01,1.000000000000000000e+00,9.037833333333334451e+01,2.300000000000000000e+01,2.113516681000000062e+03,3.410641266666666382e+01,-1.177119946666666692e+02,2.113587473000000045e+03
1.322799999999999976e+01,1.000000000000000000e+00,9.057833333333333314e+01,2.300000000000000000e+01,2.113516681000000062e+03,3.410641266666666382e+01,-1.177119946666666692e+02,2.113587473000000045e+03
1.260599999999999987e+01,1.000000000000000000e+00,8.957833333333333314e+01,1.000000000000000000e+02,2.113816607000000204e+03,3.410641266666666382e+01,-1.177119946666666692e+02,2.113896798000000217e+03
1.284200000000000053e+01,1.000000000000000000e+00,8.977833333333333599e+01,1.000000000000000000e+02,2.113816607000000204e+03,3.410641266666666382e+01,-1.177119946666666692e+02,2.113896798000000217e+03
1.322199999999999953e+01,1.000000000000000000e+00,9.039833333333334053e+01,2.300000000000000000e+01,2.114316925000000083e+03,3.410641300000000342e+01,-1.177119948333333355e+02,2.114388822999999775e+03
1.323600000000000065e+01,1.000000000000000000e+00,9.059833333333334338e+01,2.100000000000000000e+01,2.114316925000000083e+03,3.410641300000000342e+01,-1.177119948333333355e+02,2.114388822999999775e+03
1.260200000000000031e+01,1.000000000000000000e+00,8.956812500000000909e+01,9.700000000000000000e+01,2.114716383999999834e+03,3.410641300000000342e+01,-1.177119948333333355e+02,2.114792813999999908e+03
1.278400000000000070e+01,1.000000000000000000e+00,8.976312500000000227e+01,1.000000000000000000e+02,2.114716383999999834e+03,3.410641300000000342e+01,-1.177119948333333355e+02,2.114792813999999908e+03
1.323000000000000043e+01,1.000000000000000000e+00,9.031833333333334224e+01,2.300000000000000000e+01,2.115516627999999855e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.115589586999999938e+03
1.323000000000000043e+01,1.000000000000000000e+00,9.051833333333333087e+01,2.300000000000000000e+01,2.115516627999999855e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.115589586999999938e+03
1.259200000000000053e+01,1.000000000000000000e+00,8.952833333333333599e+01,8.900000000000000000e+01,2.115816553000000113e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.115896280999999817e+03
1.269999999999999929e+01,1.000000000000000000e+00,8.972833333333333883e+01,1.000000000000000000e+02,2.115816553000000113e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.115896280999999817e+03
1.280599999999999916e+01,1.000000000000000000e+00,8.976833333333334508e+01,1.000000000000000000e+02,2.116116480000000138e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.116196750999999949e+03
1.289799999999999969e+01,1.000000000000000000e+00,8.996833333333333371e+01,9.700000000000000000e+01,2.116116480000000138e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.116196750999999949e+03
1.323799999999999955e+01,1.000000000000000000e+00,9.039812500000000739e+01,2.300000000000000000e+01,2.116616798000000017e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.116686522999999852e+03
1.323799999999999955e+01,1.000000000000000000e+00,9.059312500000000057e+01,2.300000000000000000e+01,2.116616798000000017e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.116686522999999852e+03
1.289400000000000013e+01,1.000000000000000000e+00,8.987812500000001137e+01,1.000000000000000000e+02,2.117216648999999961e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.117297970999999961e+03
1.302399999999999913e+01,1.000000000000000000e+00,9.007312500000000455e+01,3.400000000000000000e+01,2.117216648999999961e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.117297970999999961e+03
1.301999999999999957e+01,1.000000000000000000e+00,9.008812500000000512e+01,2.900000000000000000e+01,2.117516574000000219e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.117591793999999936e+03
1.321400000000000041e+01,1.000000000000000000e+00,9.028312499999999829e+01,2.500000000000000000e+01,2.117516574000000219e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.117591793999999936e+03
1.284399999999999942e+01,1.000000000000000000e+00,8.978833333333334110e+01,1.000000000000000000e+02,2.117816499999999905e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.117892506000000139e+03
1.290600000000000058e+01,1.000000000000000000e+00,8.998833333333334394e+01,9.700000000000000000e+01,2.117816499999999905e+03,3.410641300000000342e+01,-1.177119951666666680e+02,2.117892506000000139e+03
1.259999999999999964e+01,1.000000000000000000e+00,8.958833333333333826e+01,1.000000000000000000e+02,2.118916670999999951e+03,3.410641266666666382e+01,-1.177119948333333355e+02,2.118998441000000184e+03
1.282799999999999940e+01,1.000000000000000000e+00,8.978833333333334110e+01,1.000000000000000000e+02,2.118916670999999951e+03,3.410641266666666382e+01,-1.177119948333333355e+02,2.118998441000000184e+03
1.290600000000000058e+01,1.000000000000000000e+00,8.989812500000000739e+01,1.000000000000000000e+02,2.119216594999999870e+03,3.410641266666666382e+01,-1.177119946666666692e+02,2.119295866999999816e+03
1.304800000000000004e+01,1.000000000000000000e+00,9.009312500000000057e+01,2.700000000000000000e+01,2.119216594999999870e+03,3.410641266666666382e+01,-1.177119946666666692e+02,2.119295866999999816e+03
1.285200000000000031e+01,1.000000000000000000e+00,8.981791666666666174e+01,1.000000000000000000e+02,2.120116372999999840e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120190517999999884e+03
1.290399999999999991e+01,1.000000000000000000e+00,9.000791666666665947e+01,8.900000000000000000e+01,2.120116372999999840e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120190517999999884e+03
1.324000000000000021e+01,1.000000000000000000e+00,9.050833333333333997e+01,2.500000000000000000e+01,2.120316765999999916e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120397817000000032e+03
1.323000000000000043e+01,1.000000000000000000e+00,9.070833333333334281e+01,1.900000000000000000e+01,2.120316765999999916e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120397817000000032e+03
