Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
8.185999999999999943e+00,1.000000000000000000e+00,1.783333333333333437e-01,1.100000000000000000e+01,1.317391976999999997e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.317436316000000033e+03
8.194000000000000838e+00,1.000000000000000000e+00,3.783333333333332993e-01,1.100000000000000000e+01,1.317391976999999997e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.317436316000000033e+03
8.208000000000000185e+00,1.000000000000000000e+00,1.083333333333333370e-01,1.300000000000000000e+01,1.317691902000000027e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.317767027999999982e+03
8.198000000000000398e+00,1.000000000000000000e+00,3.083333333333333481e-01,1.300000000000000000e+01,1.317691902000000027e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.317767027999999982e+03
8.194000000000000838e+00,1.000000000000000000e+00,1.585416666666666641e-01,1.100000000000000000e+01,1.318291754000000083e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.318362908999999945e+03
8.205999999999999517e+00,1.000000000000000000e+00,3.635416666666666519e-01,1.100000000000000000e+01,1.318291754000000083e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.318362908999999945e+03
8.185999999999999943e+00,1.000000000000000000e+00,1.883333333333333248e-01,1.100000000000000000e+01,1.318591679000000113e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.318671841000000086e+03
8.194000000000000838e+00,1.000000000000000000e+00,3.883333333333333082e-01,1.100000000000000000e+01,1.318591679000000113e+03,3.410643333333333516e+01,-1.177120321666666598e+02,1.318671841000000086e+03
8.194000000000000838e+00,1.000000000000000000e+00,8.833333333333333315e-02,1.300000000000000000e+01,1.319691849000000047e+03,3.410643366666666765e+01,-1.177120318333333273e+02,1.319768366999999898e+03
8.194000000000000838e+00,1.000000000000000000e+00,2.883333333333333304e-01,1.100000000000000000e+01,1.319691849000000047e+03,3.410643366666666765e+01,-1.177120318333333273e+02,1.319768366999999898e+03
8.205999999999999517e+00,1.000000000000000000e+00,2.883333333333333859e-01,1.100000000000000000e+01,1.320291699999999992e+03,3.410643366666666765e+01,-1.177120316666666611e+02,1.320365189999999984e+03
8.194000000000000838e+00,1.000000000000000000e+00,4.883333333333333970e-01,1.100000000000000000e+01,1.320291699999999992e+03,3.410643366666666765e+01,-1.177120316666666611e+02,1.320365189999999984e+03
8.189999999999999503e+00,1.000000000000000000e+00,1.183333333333333320e-01,1.300000000000000000e+01,1.321391869999999926e+03,3.410643400000000014e+01,-1.177120321666666598e+02,1.321472199999999930e+03
8.198000000000000398e+00,1.000000000000000000e+00,3.183333333333333570e-01,1.300000000000000000e+01,1.321391869999999926e+03,3.410643400000000014e+01,-1.177120321666666598e+02,1.321472199999999930e+03
8.195999999999999730e+00,1.000000000000000000e+00,8.749999999999999098e-03,1.300000000000000000e+01,1.321691796000000068e+03,3.410643400000000014e+01,-1.177120321666666598e+02,1.321770618999999897e+03
8.195999999999999730e+00,1.000000000000000000e+00,2.187500000000000000e-01,1.100000000000000000e+01,1.321691796000000068e+03,3.410643400000000014e+01,-1.177120321666666598e+02,1.321770618999999897e+03
8.198000000000000398e+00,1.000000000000000000e+00,8.749999999999999098e-03,1.300000000000000000e+01,1.322591572999999926e+03,3.410643400000000014e+01,-1.177120326666666728e+02,1.322670053000000053e+03
8.204000000000000625e+00,1.000000000000000000e+00,2.187500000000000000e-01,1.100000000000000000e+01,1.322591572999999926e+03,3.410643400000000014e+01,-1.177120326666666728e+02,1.322670053000000053e+03
8.204000000000000625e+00,1.000000000000000000e+00,2.383333333333333415e-01,1.300000000000000000e+01,1.323091891000000032e+03,3.410643433333333263e+01,-1.177120330000000052e+02,1.323165678000000071e+03
8.194000000000000838e+00,1.000000000000000000e+00,4.383333333333333526e-01,1.300000000000000000e+01,1.323091891000000032e+03,3.410643433333333263e+01,-1.177120330000000052e+02,1.323165678000000071e+03
8.208000000000000185e+00,1.000000000000000000e+00,3.183333333333333570e-01,1.100000000000000000e+01,1.323391816999999946e+03,3.410643433333333263e+01,-1.177120330000000052e+02,1.323463899999999967e+03
8.201999999999999957e+00,1.000000000000000000e+00,5.183333333333333126e-01,1.300000000000000000e+01,1.323391816999999946e+03,3.410643433333333263e+01,-1.177120330000000052e+02,1.323463899999999967e+03
8.195999999999999730e+00,1.000000000000000000e+00,1.783333333333333437e-01,1.100000000000000000e+01,1.325091838000000052e+03,3.410643383333333389e+01,-1.177120340000000027e+02,1.325168008000000100e+03
8.199999999999999289e+00,1.000000000000000000e+00,3.783333333333332993e-01,1.100000000000000000e+01,1.325091838000000052e+03,3.410643383333333389e+01,-1.177120340000000027e+02,1.325168008000000100e+03
8.194000000000000838e+00,1.000000000000000000e+00,3.285416666666666763e-01,1.300000000000000000e+01,1.325691688999999997e+03,3.410643383333333389e+01,-1.177120340000000027e+02,1.325770128999999997e+03
8.189999999999999503e+00,1.000000000000000000e+00,5.335416666666666918e-01,1.300000000000000000e+01,1.325691688999999997e+03,3.410643383333333389e+01,-1.177120340000000027e+02,1.325770128999999997e+03
8.199999999999999289e+00,1.000000000000000000e+00,2.883333333333333859e-01,1.300000000000000000e+01,1.326791858999999931e+03,3.410643383333333389e+01,-1.177120341666666690e+02,1.326872227999999950e+03
8.199999999999999289e+00,1.000000000000000000e+00,4.883333333333333970e-01,1.100000000000000000e+01,1.326791858999999931e+03,3.410643383333333389e+01,-1.177120341666666690e+02,1.326872227999999950e+03
8.201999999999999957e+00,1.000000000000000000e+00,1.585416666666666641e-01,1.300000000000000000e+01,1.327391710000000103e+03,3.410643366666666765e+01,-1.177120343333333352e+02,1.327478792000000112e+03
8.195999999999999730e+00,1.000000000000000000e+00,3.635416666666666519e-01,1.300000000000000000e+01,1.327391710000000103e+03,3.410643366666666765e+01,-1.177120343333333352e+02,1.327478792000000112e+03
8.194000000000000838e+00,1.000000000000000000e+00,4.679166666666667029e-01,1.300000000000000000e+01,1.328491880000000037e+03,3.410643366666666765e+01,-1.177120345000000015e+02,1.328586544000000004e+03
8.208000000000000185e+00,1.000000000000000000e+00,6.579166666666667052e-01,1.100000000000000000e+01,1.328491880000000037e+03,3.410643366666666765e+01,-1.177120345000000015e+02,1.328586544000000004e+03
8.205999999999999517e+00,1.000000000000000000e+00,4.279166666666666674e-01,1.300000000000000000e+01,1.328791805999999951e+03,3.410643366666666765e+01,-1.177120345000000015e+02,1.328874733999999989e+03
8.199999999999999289e+00,1.000000000000000000e+00,6.179166666666666696e-01,1.100000000000000000e+01,1.328791805999999951e+03,3.410643366666666765e+01,-1.177120345000000015e+02,1.328874733999999989e+03
8.214000000000000412e+00,1.000000000000000000e+00,3.481250000000000178e-01,1.300000000000000000e+01,1.330491825999999946e+03,3.410643366666666765e+01,-1.177120351666666664e+02,1.330590740000000096e+03
8.205999999999999517e+00,1.000000000000000000e+00,5.431250000000000799e-01,1.300000000000000000e+01,1.330491825999999946e+03,3.410643366666666765e+01,-1.177120351666666664e+02,1.330590740000000096e+03
8.198000000000000398e+00,1.000000000000000000e+00,4.833333333333333232e-02,1.300000000000000000e+01,1.330791750999999977e+03,3.410643366666666765e+01,-1.177120351666666664e+02,1.330867048999999952e+03
8.199999999999999289e+00,1.000000000000000000e+00,2.483333333333333781e-01,1.100000000000000000e+01,1.330791750999999977e+03,3.410643366666666765e+01,-1.177120351666666664e+02,1.330867048999999952e+03
8.204000000000000625e+00,1.000000000000000000e+00,3.783333333333333548e-01,1.100000000000000000e+01,1.332191847000000053e+03,3.410643416666666639e+01,-1.177120350000000002e+02,1.332267565000000104e+03
8.215999999999999304e+00,1.000000000000000000e+00,5.783333333333333659e-01,1.100000000000000000e+01,1.332191847000000053e+03,3.410643416666666639e+01,-1.177120350000000002e+02,1.332267565000000104e+03
8.188000000000000611e+00,1.000000000000000000e+00,3.983333333333333726e-01,1.100000000000000000e+01,1.332491772000000083e+03,3.410643416666666639e+01,-1.177120350000000002e+02,1.332590979000000061e+03
8.195999999999999730e+00,1.000000000000000000e+00,5.983333333333333837e-01,1.100000000000000000e+01,1.332491772000000083e+03,3.410643416666666639e+01,-1.177120350000000002e+02,1.332590979000000061e+03
